checkpoint,K,M,logical_compute,unused_compute,verifier_calls,verifier_candidate_scores,notation,q,ratio,p_miss,ell,regret_mean,p_miss_times_ell,O_M,Q_empirical,delta_vs_psp,n_miss
24,2,7,248,8,2,9,7→2@24,0.375,0.2857142857142857,0.331,0.3031514209254066,0.10034312032630958,0.10034312032630958,0.9226065065374334,0.8222633862111238,-0.029349864158247585,33100
24,3,5,240,16,2,8,5→3@24,0.375,0.6,0.12732,0.2587308275608151,0.03294160896504298,0.03294160896504298,0.8258808895138802,0.7929392805488372,-0.05867396982053419,12732
25,1,8,239,17,2,9,8→1@25,0.390625,0.125,0.54532,0.3997691769783786,0.2180021275898494,0.21800212758984944,0.9576431964902141,0.7396410689003647,-0.11197218146900667,54532
25,2,7,253,3,2,9,7→2@25,0.390625,0.2857142857142857,0.31637,0.2960146003369012,0.09365013910858543,0.09365013910858543,0.9226065065374334,0.8289563674288479,-0.02265688294052348,31637
25,3,5,242,14,2,8,5→3@25,0.390625,0.6,0.11841,0.25172714813664687,0.029807011610860353,0.029807011610860357,0.8258808895138802,0.7960738779030199,-0.055539372466351544,11841
26,1,8,246,10,2,9,8→1@26,0.40625,0.125,0.53134,0.3879190543079969,0.20611691031601106,0.2061169103160111,0.9576431964902141,0.751526286174203,-0.10008696419516838,53134
26,2,6,232,24,2,8,6→2@26,0.40625,0.3333333333333333,0.27492,0.2895430722932729,0.0796011814348666,0.0796011814348666,0.8798631142454642,0.8002619328105975,-0.05135131755877387,27492
26,3,5,244,12,2,8,5→3@26,0.40625,0.6,0.11497,0.2512898933064263,0.028890799033439836,0.028890799033439832,0.8258808895138802,0.7969900904804403,-0.05462315988893107,11497
27,1,8,253,3,2,9,8→1@27,0.421875,0.125,0.51141,0.37286495888888627,0.19068686862536532,0.19068686862536532,0.9576431964902141,0.7669563278648488,-0.08465692250452261,51141
27,2,6,236,20,2,8,6→2@27,0.421875,0.3333333333333333,0.26009,0.2798536124478091,0.07278712606155066,0.07278712606155066,0.8798631142454642,0.8070759881839135,-0.04453726218545795,26009
27,3,5,246,10,2,8,5→3@27,0.421875,0.6,0.10645,0.24592873677217103,0.026179114029397606,0.026179114029397606,0.8258808895138802,0.7997017754844825,-0.0519114748848889,10645
28,1,7,232,24,2,8,7→1@28,0.4375,0.14285714285714285,0.48377,0.3543768341475797,0.17143688105557464,0.1714368810555746,0.9226065065374334,0.7511696254818587,-0.10044362488751268,48377
28,2,6,240,16,2,8,6→2@28,0.4375,0.3333333333333333,0.25067,0.271885362442229,0.06815350380339354,0.06815350380339354,0.8798631142454642,0.8117096104420706,-0.03990363992730084,25067
28,3,5,248,8,2,8,5→3@28,0.4375,0.6,0.1006,0.24354213425837767,0.024500338706392795,0.02450033870639279,0.8258808895138802,0.8013805508074874,-0.05023269956188403,10060
